,Unnamed: 0,Passages,Force,Explicit_Lack_Of_Consent,Threat,Authority,Minor_Injury,Threat_Other,count,Minor,Silent,Severe_Injury,Not_Conscious,clean
201,201,"My step brother raped me at least three times although I am only currently able to remember the first time in detail. The first time I can remember he walked into my room alone. He was wearing a dark graphic t-shirt with some band logo on it and ripped loose dark jeans. He creaked the door open a little at first. That scared the hell out of me. He proceeded, tiptoeing into the room. He knelt besides the bed and whispered in my ear, his breath smelled like cigarette smoke. He started (the three times I can remember) by forcing his dick in my ass. I can't remember what that felt like. He also liked to play a game where he would masturbate my tiny penis until it was erect and then laugh at me and at it and then forcefully break it in half until no longer stood up straight. There were other games like this that he like to play with me at night. I don't want to remember all of them, but they were all humiliating and they all hurt. He would always ejaculate in my mouth, and when he was finished he would put his penis in my mouth and say nasty things to me while he forced it around in my mouth and made me taste my own shit and his ejaculate mixed together. He wanted me to taste it. He forced me to taste it. There is no worse taste. It tasted terrible.",1,,,1,,,249,1,,,,my step brother rape me at least three time although i am onli current abl to rememb the first time in detail the first time i can rememb he walk into my room alon he was wear a dark graphic shirt with some band logo on it and rip loos dark jean he creak the door open a littl at first that scare the hell out of me he proceed tipto into the room he knelt besid the bed and whisper in my ear his breath smell like cigarett smoke he start the three time i can rememb by forc his dick in my ass i can rememb what that felt like he also like to play a game where he would masturb my tini peni until it was erect and then laugh at me and at it and then forc break it in half until no longer stood up straight there were other game like this that he like to play with me at night i don want to rememb all of them but they were all humili and they all hurt he would alway ejacul in my mouth and when he was finish he would put his peni in my mouth and say nasti thing to me while he forc it around in my mouth and made me tast my own shit and his ejacul mix togeth he want me to tast it he forc me to tast it there is no wors tast it tast terribl
202,202,"That's why he did it the first time. To punish me for calling my sister a bitch, because it was disrespectful to women. He was 27 at the time and I was 5. He penetrated my anus and mouth with his penis. He copulated me. After the first time, he enjoyed it, he told me how much he enjoyed it.",1,,,1,,,60,1,1,,,that whi he did it the first time to punish me for call my sister a bitch becaus it was disrespect to women he was at the time and i was he penetr my anus and mouth with his peni he copul me after the first time he enjoy it he told me how much he enjoy it
206,206,"When I turned twelve my step father grandfather sexual assaulted me. I told my parents immediately afterwards expecting this time to be different, but instead nothing was done. ",1,,,1,,,57,1,,,,when i turn twelv my step father grandfath sexual assault me i told my parent immedi afterward expect this time to be differ but instead noth was done
208,208,"I've always spent a lot of time at my grandparents house and whenever I slept over, I slept on the couch (my brother took the extra bedroom and my little sister slept on a sleeping bag in the master bedroom with my grandma). The thing is though that my grandpa would sleep on the same couch as me even though there was another couch not 5 feet away. I was also around 14 at the time, old enough to have my own sleeping space. Ever since I was little though we had always slept using the same couch. He'd use the reclining part of the couch and I'd sleep the long way. I never really saw anything wrong with it. I spent a lot of time with him because my grandma wasn't always the nicest person. I remember him kissing me on the lips a few times too (unlike the couch situation, I wasn't comfortable with the kisses but didn't say anything. I know some family members kiss young kids on the lips but it was always weirded me out). He also used to pull me closer to him when we all gather on the couch to watch a movie, occasionally it'd be by my ass or upper thighs. He used to give me small gifts too, like gum or mints everytime I saw him (he still does this btw) and looking back it reminds me of a pedo grooming a child.",1,,,1,,,242,1,,,,i alway spent a lot of time at my grandpar hous and whenev i slept over i slept on the couch my brother took the extra bedroom and my littl sister slept on a sleep bag in the master bedroom with my grandma the thing is though that my grandpa would sleep on the same couch as me even though there was anoth couch not feet away i was also around at the time old enough to have my own sleep space ever sinc i was littl though we had alway slept use the same couch he d use the reclin part of the couch and i d sleep the long way i never realli saw anyth wrong with it i spent a lot of time with him becaus my grandma wasn alway the nicest person i rememb him kiss me on the lip a few time too unlik the couch situat i wasn comfort with the kiss but didn say anyth i know some famili member kiss young kid on the lip but it was alway weird me out he also use to pull me closer to him when we all gather on the couch to watch a movi occasion it d be by my ass or upper thigh he use to give me small gift too like gum or mint everytim i saw him he still doe this btw and look back it remind me of a pedo groom a child
219,219,"So when I was around 5-7 I was sexually assaulted by my cousin for years. The first time it happened is when my brother,my girl cousin, my boy cousin and I had a sleepover at my aunts house (my cousins mom) and there was 2 rooms upstairs and ofc my older cousin got his own room because he was older and the 3 of us had to share a room, but when we were all a wake my older cousin called me in to watch a movie with him and ofc I did because he was my older cousin and i was little, he invited me underneath the covers to â€œstay warmâ€ and I was falling alseep because it was dark out and then I feel something touching me all over I wake up and still try to understand whatâ€™s going on.",1,,,1,,,142,1,,,,so when i was around i was sexual assault by my cousin for year the first time it happen is when my brother my girl cousin my boy cousin and i had a sleepov at my aunt hous my cousin mom and there was room upstair and ofc my older cousin got his own room becaus he was older and the of us had to share a room but when we were all a wake my older cousin call me in to watch a movi with him and ofc i did becaus he was my older cousin and i was littl he invit me underneath the cover to â œstay warmâ and i was fall alseep becaus it was dark out and then i feel someth touch me all over i wake up and still tri to understand whatâ go on
250,250,so i had to share the room w my uncle there were two bed in each room so i had one of the bed to myself fast forward when its night time specifically the middle of the night i was awoke by someone standing behind me and i saw by the reflection of the window it was my uncle in my mind oh maybe he was getting water or maybe he wanted to go to the bathroom then he started to slowly pull his boxer down and poke his penis on my back i was shocked when he did that then he slowly grab my hand and rub it on his penis at that time i pretended i was asleep but in reality i was screaming on top of lungs i wanted to runaway but i was scared that he would do something bad i just hoped that he wouldn't do anything more then that then the unthinkable happen he started grunting and came on his hand and rub it on my blanket then he slowly walked in front of me and took pictures of his dick near my body i couldn't sleep till dawn.,1,,,1,,,195,1,1,,,so i had to share the room w my uncl there were two bed in each room so i had one of the bed to myself fast forward when it night time specif the middl of the night i was awok by someon stand behind me and i saw by the reflect of the window it was my uncl in my mind oh mayb he was get water or mayb he want to go to the bathroom then he start to slowli pull his boxer down and poke his peni on my back i was shock when he did that then he slowli grab my hand and rub it on his peni at that time i pretend i was asleep but in realiti i was scream on top of lung i want to runaway but i was scare that he would do someth bad i just hope that he wouldn do anyth more then that then the unthink happen he start grunt and came on his hand and rub it on my blanket then he slowli walk in front of me and took pictur of his dick near my bodi i couldn sleep till dawn
259,259,"My sister was 4yo when my 15yo cousin (side of my father) touched her in a playground while we were playing. The second day, he closed her with him in the bathroom and showed himself asking to grab his private parts. My sister came out crying and told me right after. I was 11 and knew I had to tell an adult. As my parents were busy with 10 guests and I was scared anyways or ashamed to tell them, I told my aunt (my mom s sister) and explained her what happened to my little sister.",1,,,1,,,97,1,,,,my sister was yo when my yo cousin side of my father touch her in a playground while we were play the second day he close her with him in the bathroom and show himself ask to grab his privat part my sister came out cri and told me right after i was and knew i had to tell an adult as my parent were busi with guest and i was scare anyway or asham to tell them i told my aunt my mom sister and explain her what happen to my littl sister
267,267,"he first cop I told joked that I should have just tried to enjoy it, then groped me in the guise of asking where my father had touched me. My whole family disowned me for betraying my father.",1,1,,1,,1,38,,,,,he first cop i told joke that i should have just tri to enjoy it then grope me in the guis of ask where my father had touch me my whole famili disown me for betray my father
270,270,"Alright here we go, Iâ€™m currently a 13 year old boy and this story takes place 9 years back, My mom left me with at my babysitters house after school and went back to work. I did my homework and went outside to play with my babysitters daughter, there was a family friend over at the babysitters house and he was sitting in the garage doing nothing, my babysitter was in the house doing whatever and me and her daughter were outside, we were playing on the trampoline and her daughter suggested we played sword fighting with pool noodles and I accepted thinking it was pretty fun. While playing I hit the daughters arm with a pool noodle and the daughter told the family friend who was in the garage he told me not to hurt the daughter (even though it was her idea to play sword fighting) so he kept scolding and then he unzipped his pants and told me to suck his dick, me not knowing what it was did it and I donâ€™t remember if he nutted inside my mouth but it was bad either way, the worst part was telling my mom a few years later because she thought it was all her fault for leaving me with the babysitter,",,1,,1,,,214,1,,,,alright here we go iâ current a year old boy and this stori take place year back my mom left me with at my babysitt hous after school and went back to work i did my homework and went outsid to play with my babysitt daughter there was a famili friend over at the babysitt hous and he was sit in the garag do noth my babysitt was in the hous do whatev and me and her daughter were outsid we were play on the trampolin and her daughter suggest we play sword fight with pool noodl and i accept think it was pretti fun while play i hit the daughter arm with a pool noodl and the daughter told the famili friend who was in the garag he told me not to hurt the daughter even though it was her idea to play sword fight so he kept scold and then he unzip his pant and told me to suck his dick me not know what it was did it and i donâ rememb if he nut insid my mouth but it was bad either way the worst part was tell my mom a few year later becaus she thought it was all her fault for leav me with the babysitt
284,284,"*I'm 19M and last December my dad beat and raped me. Suffered a severe concussion, many broken bones in my right hand and wrist, sprained ankle, 4 broken ribs. All has resulted in epilepsy, depression and anxiety all of which I never had before. Feels like it has been 3 years since it happened but only 9 months have passed...*
  
",1,,,1,,,116,1,,1,,i m and last decemb my dad beat and rape me suffer a sever concuss mani broken bone in my right hand and wrist sprain ankl broken rib all has result in epilepsi depress and anxieti all of which i never had befor feel like it has been year sinc it happen but onli month have pass
286,286,"So last year, I got involved with a priest and at first it was consensual. Slowly I got more and more uncomfortable with the relationship. It ended up with him forcing himself on me after entering my house without permission.",1,,,1,,,192,,1,,,so last year i got involv with a priest and at first it was consensu slowli i got more and more uncomfort with the relationship it end up with him forc himself on me after enter my hous without permiss
296,296,"Been lurking on this for a few minutes this morning. I just wanna say it out loud I guess. I feel like I just been a sex object my whole life basically. Start with my nasty neighbor when I was a tiny kid, my first god damn memories are of that shit that lasted years. Add another neighbor. Dads friends. Friends cousin stole my virginity while she laughed in the other room. A guy I was taking to put drops of liquid acid in my drink, did his thing . Moved, new neighbor found me. Again in high school. Then a boyfriend. I don't even know how many times really. I don't fester on it anymore. I'm in my 30s now. Its just the cards I was dealt I think. It's been a shit show since birth. It's like I've just accepted that this shit happens ya know. It's like I've got a target on me that says take her. Maybe it's just happened so many times I've grown numb to it. Does that make sence? I been damaged goods since I was 3 or 4. I don't see any point of making a big deal about it. I don't do therapy or anything. I have no wants to relive that shit. Its buried. It happened. Whatever. That's my story.",1,,,1,,,220,1,,,1,been lurk on this for a few minut this morn i just wanna say it out loud i guess i feel like i just been a sex object my whole life basic start with my nasti neighbor when i was a tini kid my first god damn memori are of that shit that last year add anoth neighbor dad friend friend cousin stole my virgin while she laugh in the other room a guy i was take to put drop of liquid acid in my drink did his thing move new neighbor found me again in high school then a boyfriend i don even know how mani time realli i don fester on it anymor i in my now it just the card i was dealt i think it been a shit show sinc birth it like i just accept that this shit happen ya know it like i got a target on me that say take her mayb it just happen so mani time i grown numb to it doe that make senc i been damag good sinc i was or i don see ani point of make a big deal about it i don do therapi or anyth i have no want to reliv that shit it buri it happen whatev that my stori
298,298,"I am a 17 year old male. I was 7-10 whenever I was raped. I was raped by my cousin who was 12-15. She repeatedly used me for her own sexual needs. I was so young I had absolutely no idea what was happening. Now I understand that I was raped. 
",1,,,1,,,112,1,,,,i am a year old male i was whenev i was rape i was rape by my cousin who was she repeat use me for her own sexual need i was so young i had absolut no idea what was happen now i understand that i was rape
299,299,"When I was 13 I was raped by my sisters ex-husband and he was not arrested, moved next to our home and we moved, ",1,,,1,,,40,1,,,,when i was i was rape by my sister ex husband and he was not arrest move next to our home and we move
304,304,"My mom, my uncle, and I(m), rented a small rooms where we lived for a short period of time. My mom worked Mondays through Saturdays, and my uncle worked only some days. He didn't care about anything. He IS an alcoholic as well. I was ten at the time. This story will sound cliche and strange at the same time. While my mom was working, my uncle called me to lay with him on the bed. I wasn't scared, but I was skeptical. I complied. He started touching my private parts. I didn't say anything, I guess I was in shock or something. I knew the was wrong, but I didn't do anything. Soon, he attempted to penetrate me. I snapped back into reality. I jumped off the bed and told him that that was rape and it was wrong. I left back to my side of my room. I remember he begged me to do it and to not tell my mom.
  
 ",1,1,,1,,,264,1,,,,my mom my uncl and i rent a small room where we live for a short period of time my mom work monday through saturday and my uncl work onli some day he didn care about anyth he is an alcohol as well i was ten at the time this stori will sound clich and strang at the same time while my mom was work my uncl call me to lay with him on the bed i wasn scare but i was skeptic i compli he start touch my privat part i didn say anyth i guess i was in shock or someth i knew the was wrong but i didn do anyth soon he attempt to penetr me i snap back into realiti i jump off the bed and told him that that was rape and it was wrong i left back to my side of my room i rememb he beg me to do it and to not tell my mom
305,305,"When I was 1 1/2 years old, my dad went to jail, causing him and mom to separate. 2 yrs later, my mom met my step dad and eventually ended up having my little brother. I was raped by my step dad when I was about seven years old, up till 13 yrs old. My mother knows, and I know it might seem so fucking bizarre but I deep down I understand why she never left him. Nonetheless I fucking hate her, but at the same time shes my mom and I love her.",1,,,1,,,248,1,1,,,when i was year old my dad went to jail caus him and mom to separ yrs later my mom met my step dad and eventu end up have my littl brother i was rape by my step dad when i was about seven year old up till yrs old my mother know and i know it might seem so fuck bizarr but i deep down i understand whi she never left him nonetheless i fuck hate her but at the same time shes my mom and i love her
312,312,"She used to touch me in my sleep. She molested me in the guise of caring for me. She was an exhibitionist too.
",1,,,1,,,88,,1,,1,she use to touch me in my sleep she molest me in the guis of care for me she was an exhibitionist too
313,313,"y SO and I hav. It came to light this year, that he molested our daughter. According to both parties it never went past touching above the clothes...but it happened multiple times since she was 8 yrs old. 
  
  ",1,,,1,,,217,1,,,,y so and i hav it came to light this year that he molest our daughter accord to both parti it never went past touch abov the cloth but it happen multipl time sinc she was yrs old
314,314,I was raped by my cousin and uncle nearly everyday for the last two years. After my parents died My uncle took me in. I can't tell anyone because I have no where else to go.,1,,,1,,,36,1,1,,,i was rape by my cousin and uncl near everyday for the last two year after my parent die my uncl took me in i can tell anyon becaus i have no where els to go
317,317,I'm 13 now but when I was little my mom used to touch me a lot around and in my private areas and say she needed to do it to wash and dress me and to do medical checks. She also used to get me to sleep next to her and we would both be naked. She hasn't done any of that stuff in a very long time but I just started to realize it wasn't ok and there was no reason for her to touch me like she did. I don't know what to do about it. I have always been really close with my mom and we've had a great relationship my whole life. She's the only family I really have except for my grandma who has dementia. I don't know if I should confront her and tell her I'm uncomfortable with how she touched me because I don't want her to get mad at me or think I don't like her. But I also don't want to just pretend it never happened because I can't stop thinking about it and it just makes me feel all wrong and gross.,1,,,1,,,192,1,1,,,i now but when i was littl my mom use to touch me a lot around and in my privat area and say she need to do it to wash and dress me and to do medic check she also use to get me to sleep next to her and we would both be nake she hasn done ani of that stuff in a veri long time but i just start to realiz it wasn ok and there was no reason for her to touch me like she did i don know what to do about it i have alway been realli close with my mom and we had a great relationship my whole life she the onli famili i realli have except for my grandma who has dementia i don know if i should confront her and tell her i uncomfort with how she touch me becaus i don want her to get mad at me or think i don like her but i also don want to just pretend it never happen becaus i can stop think about it and it just make me feel all wrong and gross
325,325,I was with him for 5yrs and he has beaten me and raped over and over again I thought at least my kids was taking care of until he beat and raped me so bad I couldnÃ¢â‚¬â„¢t walk or see out of one side of my face I waited a few days and left with my 4 kids to a hotel I have found a job and have been gone for 2 weeks I donÃ¢â‚¬â„¢t get paid for 2 weeks and tomorrow is the last day I have for this hotel room I have called all the shelters and they are full so I have to go back I canÃ¢â‚¬â„¢t have my kids homeless,1,,,1,1,,114,1,1,,,i was with him for yrs and he has beaten me and rape over and over again i thought at least my kid was take care of until he beat and rape me so bad i couldnã â â walk or see out of one side of my face i wait a few day and left with my kid to a hotel i have found a job and have been gone for week i donã â â get paid for week and tomorrow is the last day i have for this hotel room i have call all the shelter and they are full so i have to go back i canã â â have my kid homeless
326,326,"When I was 6 or 7, my half brother raped me many times. No one knows except my twin sister, but we have never talked about it. I am 17 now. Today me and my boyfriend had sex twice. ",1,,,1,,,96,1,1,,,when i was or my half brother rape me mani time no one know except my twin sister but we have never talk about it i am now today me and my boyfriend had sex twice
335,335,", I thought about my own experiences and remembered when I was really young (5-7 years approximately), my grandfather would molest me. Only recently have I realised how wrong and disgusting this man was. (I can give more info if needed). Since then I have noticed how I behave around others, especially physically. 
",1,,,1,,,276,1,,,,i thought about my own experi and rememb when i was realli young year approxim my grandfath would molest me onli recent have i realis how wrong and disgust this man was i can give more info if need sinc then i have notic how i behav around other especi physic
341,341,"When I was in elementary school, I was sexually assaulted by my neighbor and because of it I was never really affectionate to anyone.",1,,,1,,,188,1,,,,when i was in elementari school i was sexual assault by my neighbor and becaus of it i was never realli affection to anyon
343,343,"I've been seeing the same therapist for 4 years and we've built up a good relationship. I trust her deeply and I am very open with her. I was diagnosed with PTSD due to severe childhood abuse.
  We were discussing some of the abuse I experienced as a child, and my therapist to used the term ""sexual abuse"".
  It wasn't a new topic, but I had never heard her refer to what happened to me in that way. I instantly felt sick and Confused.
  
  As a child my mother would regularly ""clean"" me vaginally and anally. Sometimes if she felt I wasn't clean enough, she would use an enema, or soap, or anything she could put inside me to make me use the bathroom. 
  At one point it was so bad that I bled from my behind and she had to take me to the doctor. She claimed I had been severely constipated and had a big bowel movement which wasn't the truth.
  I knew the painful ""cleaning"" was wrong and abusive, but I never viewed it as sexual abuse.
  ",1,,,1,,,266,1,,,,i been see the same therapist for year and we built up a good relationship i trust her deepli and i am veri open with her i was diagnos with ptsd due to sever childhood abus we were discuss some of the abus i experienc as a child and my therapist to use the term sexual abus it wasn a new topic but i had never heard her refer to what happen to me in that way i instant felt sick and confus as a child my mother would regular clean me vagin and anal sometim if she felt i wasn clean enough she would use an enema or soap or anyth she could put insid me to make me use the bathroom at one point it was so bad that i bled from my behind and she had to take me to the doctor she claim i had been sever constip and had a big bowel movement which wasn the truth i knew the pain clean was wrong and abus but i never view it as sexual abus
349,349,"
  
  
  I was raped and molested as a child by two men close to my family. One of them was from the age of 10-15. He would beat my mother and tell me if I didnÃ¢â‚¬â„¢t do what he wanted sexually he would hit my mom. It took me 8 years to finally tell my family.
  
 ",1,,1,1,,,238,1,,,,i was rape and molest as a child by two men close to my famili one of them was from the age of he would beat my mother and tell me if i didnã â â do what he want sexual he would hit my mom it took me year to final tell my famili
353,353,"
  
  When I was 17, I was groomed by a manager at work. He was slightly more than twice my age and I was just trying to be polite, since he was my superior. I know I was old enough to, but I didn't really understand why the attention was wrong or who to talk to about it, so I just kind of went along with it. 
  
  ",1,,,1,,,283,1,1,,,when i was i was groom by a manag at work he was slight more than twice my age and i was just tri to be polit sinc he was my superior i know i was old enough to but i didn realli understand whi the attent was wrong or who to talk to about it so i just kind of went along with it
356,356,"I was sexually abused as a child until I was about 11 years old by my stepfather. 
",1,,,1,,,76,1,,,,i was sexual abus as a child until i was about year old by my stepfath
358,358,"s when I was 14, I was working in a restaurant and my boss at the time (who was around 65 or older) was always weird around me. He did a few things that made me think he was sexually assaulting me. He was always making ""jokes"" about his dick (how big it was) and about having sex with me. I think the worst ""joke"" he made was when I had to get on a ladder to get something on the shelves (he said he couldn't do it because of his back) and he was holding my hips (so I wouldn't fall he said) and he said something like if he would only need 30 minutes in that position to ""finish"". Another time he put his hand on my seat before I sat down as a ""joke"" and grabbed my ass. He often commented on my body and he always was saying I was hot and beautiful. I never knew how to react so I laughed awkwardly.",1,,,1,,,377,1,,,,s when i was i was work in a restaur and my boss at the time who was around or older was alway weird around me he did a few thing that made me think he was sexual assault me he was alway make joke about his dick how big it was and about have sex with me i think the worst joke he made was when i had to get on a ladder to get someth on the shelv he said he couldn do it becaus of his back and he was hold my hip so i wouldn fall he said and he said someth like if he would onli need minut in that posit to finish anoth time he put his hand on my seat befor i sat down as a joke and grab my ass he often comment on my bodi and he alway was say i was hot and beauti i never knew how to react so i laugh awkward
362,362,"A memory has come up outta nowhere. I was 5 and my parents were out of town and they hired a babysitter. She was nice and kind. She told me about All these things that I WAS NOT ready for. And she had me do them. 12 years later, IÃ¢â‚¬â„¢m sitting here and I canÃ¢â‚¬â„¢t get that night out of my mind. Please. Help me.",1,,,1,,,65,1,,,,a memori has come up outta nowher i was and my parent were out of town and they hire a babysitt she was nice and kind she told me about all these thing that i was not readi for and she had me do them year later iã â â sit here and i canã â â get that night out of my mind pleas help me
364,364,"
  
  When I was say, 10ish my uncle was 15ish and we spent a lot of time together. Almost everyday after school. I can remember on two specific occasions us playing a ""game"" called hippity hop that we went into his room and shut and locked the door and I couldn't tell anyone about the ""game"". He would lay on the edge of his bed and have me stand in front of him between his legs and hold my hips to make me ""bounce"" on a certain part of him. 
  
  ",1,,,1,,,283,1,,,,when i was say ish my uncl was ish and we spent a lot of time togeth almost everyday after school i can rememb on two specif occas us play a game call hippiti hop that we went into his room and shut and lock the door and i couldn tell anyon about the game he would lay on the edg of his bed and have me stand in front of him between his leg and hold my hip to make me bounc on a certain part of him
366,366,"
  My stepfather  touches me inappropriately and does inhumane things to me. I have been raped by him from a young age. ",1,,,1,,,229,1,,,,my stepfath touch me inappropri and doe inhuman thing to me i have been rape by him from a young age
370,370,"My rape was on-going, virtually every day for a year by a boss of mine. she wanted us to be lovers. That meant I had to soothe her emotionally, make out with her, reassure her I loved her (nothing could be further from the truth).  I refused any sexual activity, and she got upset about it, so since I knew it was inevitable I would often initiate to get it over with and go with the least worst act I could. When she badgered me into it she would often ask me over and over again if I wanted it.
  
",1,1,,1,,,302,,,,,my rape was on go virtual everi day for a year by a boss of mine she want us to be lover that meant i had to sooth her emot make out with her reassur her i love her noth could be further from the truth i refus ani sexual activ and she got upset about it so sinc i knew it was inevit i would often initi to get it over with and go with the least worst act i could when she badger me into it she would often ask me over and over again if i want it
373,373,"When I was about 7-8 I was led into a back room at a family party and raped by my older cousin, it took five years to work up the courage to tell anyone and when I did it did not go well. For context my parents are very loving and care a lot about me to the point of being overprotective. When I told them about shat happened they didnÃ¢â‚¬â„¢t doubt me but they did demand details, I didnÃ¢â‚¬â„¢t want to tell them by attackers name because I didnÃ¢â‚¬â„¢t want to tear my family apart but my parents really didnÃ¢â‚¬â„¢t like that. They threatened to call every single one of my family members, explain the situation, and ask if they had done it. I really, REALLY, didnÃ¢â‚¬â„¢t want that so I eventually told them, my room doesnÃ¢â‚¬â„¢t have a lock so I grabbed my blanket and locked myself in the bathroom for the night.",1,,,1,,,309,1,,,,when i was about i was led into a back room at a famili parti and rape by my older cousin it took five year to work up the courag to tell anyon and when i did it did not go well for context my parent are veri love and care a lot about me to the point of be overprotect when i told them about shat happen they didnã â â doubt me but they did demand detail i didnã â â want to tell them by attack name becaus i didnã â â want to tear my famili apart but my parent realli didnã â â like that they threaten to call everi singl one of my famili member explain the situat and ask if they had done it i realli realli didnã â â want that so i eventu told them my room doesnã â â have a lock so i grab my blanket and lock myself in the bathroom for the night
377,377,"s raped by my dad anally and vaginally (I'm ftm) throughout my entire my childhood and I've only just stopped bleeding anally, it's taken 6 years of healing. I",1,,,1,,,187,1,,,,s rape by my dad anal and vagin i ftm throughout my entir my childhood and i onli just stop bleed anal it taken year of heal i
384,384,"My Uncle raped me when I was 9, it has been going on for years now. I'm really scared about what will happen and I'm not sure how to bring it up. My Uncle has always been the fun one, and everyone loves him. He also threatened me not to tell anyone. I'm not sure what to do. And advice would be really appreciated. Thanks.",1,,1,1,,,96,1,,,,my uncl rape me when i was it has been go on for year now i realli scare about what will happen and i not sure how to bring it up my uncl has alway been the fun one and everyon love him he also threaten me not to tell anyon i not sure what to do and advic would be realli appreci thank
386,386,"I (F14) recently moved in with my dad after being sexually abused and beaten by my stepdad, and emotionally abused by my mom, since age 9. 
  T",1,,,1,1,,151,1,,,,i f14 recent move in with my dad after be sexual abus and beaten by my stepdad and emot abus by my mom sinc age t
391,391,I was molested by my older cousin between the ages 6 to 9. He was 16 when it had started. He made me do several gay sexual acts to him and to myself in front of him. I started noticing symptoms of HIV when I was 8 and didnt understand what it was. ,1,,,1,,,179,1,,,,i was molest by my older cousin between the age to he was when it had start he made me do sever gay sexual act to him and to myself in front of him i start notic symptom of hiv when i was and didnt understand what it was
396,396,"When I was 3 years old, my brother started abusing me. He raped me every day. He started out with smaller things, like most. He was trying to see if I would keep ""our secret"". I did. For four and a half years, I kept my mouth shut. Then, I told someone at school. They took my accusations very seriously, thankfully, a",1,,,1,,,181,1,1,,,when i was year old my brother start abus me he rape me everi day he start out with smaller thing like most he was tri to see if i would keep our secret i did for four and a half year i kept my mouth shut then i told someon at school they took my accus veri serious thank a
397,397,". I was 7-10 whenever I was raped. I was raped by my cousin who was 12-15. She repeatedly used me for her own sexual needs. I was so young I had absolutely no idea what was happening. Now I understand that I was raped. 
  
  I",1,,,1,,,112,1,,,,i was whenev i was rape i was rape by my cousin who was she repeat use me for her own sexual need i was so young i had absolut no idea what was happen now i understand that i was rape i
399,399,"I was sexually assaulted by my biological father when I was very little: I was probably four or five years old. He licked my clitoris and I had my very first orgasm. 
  ",1,,,1,,,262,1,,,,i was sexual assault by my biolog father when i was veri littl i was probabl four or five year old he lick my clitori and i had my veri first orgasm
402,402,When I was a kid I was sexually abused my dad extensively,1,,,1,,,264,1,1,,,when i was a kid i was sexual abus my dad extens
405,405,When I was 4 I remember vividly my oldest brother (at the time 20) coming into my room and molesting me. This went on until I was 6 all I remember from it is that it hurt. I'm now 13 my birthday is February 1st and I reached out to a school counselor in 2019 but nothing was done. I had to see my brother June of 2020 (he didn't do anything) but it completely destroyed me. ,1,,,1,,,218,1,,,,when i was i rememb vivid my oldest brother at the time come into my room and molest me this went on until i was all i rememb from it is that it hurt i now my birthday is februari st and i reach out to a school counselor in but noth was done i had to see my brother june of he didn do anyth but it complet destroy me
409,409,"I got molested at 8, by my oldest brother who was around 14/15 at the time. My parents owned a restaurant and were under a lot of stress, they hired people who would get my brother high off different drugs, like weed, crystal, gave him cocaine and other substances that I donÃ¢â‚¬â„¢t know of.
  
  I donÃ¢â‚¬â„¢t know how long this happened for but he would take me to the garage as a routine and lay my dogs blanket on the floor, would tell me to take my clothes off and to lay down. 
  
  At this point it all seems so blurry but I just remember it being such a routine I already knew what to do, IÃ¢â‚¬â„¢d even get the blanket myself at times.
",1,,,1,,,322,1,,,,i got molest at by my oldest brother who was around at the time my parent own a restaur and were under a lot of stress they hire peopl who would get my brother high off differ drug like weed crystal gave him cocain and other substanc that i donã â â know of i donã â â know how long this happen for but he would take me to the garag as a routin and lay my dog blanket on the floor would tell me to take my cloth off and to lay down at this point it all seem so blurri but i just rememb it be such a routin i alreadi knew what to do iã â â d even get the blanket myself at time
